"Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"Q9UJZ1","STOML2","NA","NA",-0.022,0.48,0.238,0.128,0.565,0.472,0.13,0.066,0.175
"Q99JB2","Stoml2","NA","NA",-0.022,0.48,0.238,0.128,0.565,0.472,0.13,0.066,0.175
"P49327","FASN","NA","NA",-0.429,0.163,0.192,0.057,-0.016,0.534,-0.128,-0.199,0.294
"P19096","Fasn","NA","NA",-0.429,0.163,0.192,0.057,-0.016,0.534,-0.128,-0.199,0.294
"P54278","PMS2","NA","NA",-0.513,-0.247,-0.041,0.023,-0.099,-0.062,0.134,-0.12,-0.086
"P54279","Pms2","NA","NA",-0.513,-0.247,-0.041,0.023,-0.099,-0.062,0.134,-0.12,-0.086
"Q9BRQ0","PYGO2","NA","NA",0.029,0.531,0.055,0.452,0.614,0.235,0.279,-0.082,0.314
"Q96DC8","ECHDC3","NA","NA",-0.167,0.017,-0.267,0.29,-0.06,-0.053,0.111,-0.223,-0.413
"P35251","RFC1","NA","NA",-0.313,0.197,0.102,0.273,0.196,0.318,0.341,0.043,0.081
"Q969E4","TCEAL3","NA","NA",-0.301,-0.385,-0.567,0.12,-0.61,-0.359,-0.09,-0.166,-0.434
"Q92613","JADE3","NA","NA",0.034,-0.595,-0.771,0.216,-0.762,-0.286,0.245,0.082,-0.624
"P06703","S100A6","NA","NA",0.229,0.669,0.713,0.384,0.513,0.364,0.183,-0.26,0.785
"P14069","S100a6","NA","NA",0.229,0.669,0.713,0.384,0.513,0.364,0.183,-0.26,0.785
"Q99J36","Thumpd1","NA","NA",-0.235,-0.162,-0.242,0.166,-0.756,-0.019,-0.313,-0.243,-0.491
"Q8IWX8","CHERP","NA","NA",-0.047,-0.132,-0.473,0.227,-0.437,-0.033,0.298,1.221,-0.372
"Q8CGZ0","Cherp","NA","NA",-0.047,-0.132,-0.473,0.227,-0.437,-0.033,0.298,1.221,-0.372
"P21291","CSRP1","NA","NA",-0.204,0.106,-0.429,0.233,-0.107,0.01,0.372,0.208,0.015
"P97315","Csrp1","NA","NA",-0.204,0.106,-0.429,0.233,-0.107,0.01,0.372,0.208,0.015
"P23588","EIF4B","NA","NA",-0.077,0.468,0.382,0.376,0.246,0.57,0.479,0.059,0.413
"Q8BGD9","Eif4b","NA","NA",-0.077,0.468,0.382,0.376,0.246,0.57,0.479,0.059,0.413
"Q99PL5","Rrbp1","NA","NA",-0.06,-0.375,-0.573,0.051,-0.557,-0.386,0.715,-0.204,-0.444
"Q12857","NFIA","NA","NA",-0.339,0.034,0.028,0.186,0.477,0.061,2.45,-0.095,0.278
"Q02780","Nfia","NA","NA",-0.339,0.034,0.028,0.186,0.477,0.061,2.45,-0.095,0.278
"Q921I1","Tf","NA","NA",0.105,0.158,0.156,0.459,0.153,0.066,0.438,0.639,0.102
"Q8C166","Cpne1","NA","NA",-0.216,-0.072,-0.056,-0.022,-0.228,0.102,0.078,-0.025,-0.062
"P40939","HADHA","NA","NA",-0.325,0.881,0.314,0.39,0.708,0.841,0.053,0.241,0.363
"Q8BMS1","Hadha","NA","NA",-0.325,0.881,0.314,0.39,0.708,0.841,0.053,0.241,0.363
"Q96KR1","ZFR","NA","NA",-0.11,-0.19,-0.038,0.042,-0.128,-0.072,0.236,0.608,-0.263
"Q03252","LMNB2","NA","NA",-0.335,0.411,0.155,0.118,0.283,0.445,0.062,0.716,0.097
"P20700","LMNB1","NA","NA",-0.335,0.411,0.155,0.118,0.283,0.445,0.062,0.716,0.097
"P21619","Lmnb2","NA","NA",-0.335,0.411,0.155,0.118,0.283,0.445,0.062,0.716,0.097
"P14733","Lmnb1","NA","NA",-0.335,0.411,0.155,0.118,0.283,0.445,0.062,0.716,0.097
"Q9UNZ5","C19orf53","NA","NA",-0.358,-0.235,-0.237,0.153,0.214,-0.367,0.276,-0.138,0.049
"Q9NW64","RBM22","NA","NA",-0.41,-0.078,-0.535,0.258,-0.457,-0.074,-0.325,0.086,-0.33
"Q8BHS3","Rbm22","NA","NA",-0.41,-0.078,-0.535,0.258,-0.457,-0.074,-0.325,0.086,-0.33
"P09874","PARP1","NA","NA",-0.593,-0.758,-1.05,0.097,-0.963,-0.664,-0.217,-0.247,-0.847
"Q9GZT9","EGLN1","NA","NA",-0.252,-0.061,-0.293,0.099,-0.248,0.023,0.218,0.459,-0.3
"Q91YE3","Egln1","NA","NA",-0.252,-0.061,-0.293,0.099,-0.248,0.023,0.218,0.459,-0.3
"P48735","IDH2","NA","NA",-0.245,0.24,-0.032,0.121,0.338,0.193,0.183,-0.374,0.036
"P54071","Idh2","NA","NA",-0.245,0.24,-0.032,0.121,0.338,0.193,0.183,-0.374,0.036
"P61604","HSPE1","NA","NA",-0.268,0.752,0.665,0.148,0.937,0.931,0.041,-0.051,0.656
"P27816","MAP4","NA","NA",-0.293,0.463,0.583,0.065,0.274,0.539,0.423,-0.156,0.62
"Q14204","DYNC1H1","NA","NA",-0.182,-0.186,-0.643,0.007,-0.495,-0.302,0.305,-0.112,-0.459
"Q9JHU4","Dync1h1","NA","NA",-0.182,-0.186,-0.643,0.007,-0.495,-0.302,0.305,-0.112,-0.459
"P10155","RO60","NA","NA",-0.155,0.445,0.262,0.141,0.352,0.438,0.06,0.269,0.357
"P12270","TPR","NA","NA",0.322,0.28,0.131,0.337,0.243,0.371,0.645,1.22,0.315
"F6ZDS4","Tpr","NA","NA",0.322,0.28,0.131,0.337,0.243,0.371,0.645,1.22,0.315
"P48735","IDH2","NA","NA",-0.422,0.619,0.555,-0.045,0.481,0.655,0.215,0.177,0.353
"P22234","PAICS","NA","NA",-0.168,-0.152,-0.118,0.095,-0.301,-0.064,0.183,-0.238,-0.206
"Q01082","SPTBN1","NA","NA",-0.004,0.33,0.675,0.593,0.217,0.603,0.687,2.549,0.407
"Q62261","Sptbn1","NA","NA",-0.004,0.33,0.675,0.593,0.217,0.603,0.687,2.549,0.407
"P00966","ASS1","NA","NA",-0.158,0.153,0.265,0.24,0.147,0.242,0.03,-0.085,0.027
"P16460","Ass1","NA","NA",-0.158,0.153,0.265,0.24,0.147,0.242,0.03,-0.085,0.027
"P16949","STMN1","NA","NA",-0.447,0.241,0.083,-0.02,0.186,0.401,0.063,0.013,0.185
"P54227","Stmn1","NA","NA",-0.447,0.241,0.083,-0.02,0.186,0.401,0.063,0.013,0.185
"P99028","Uqcrh","NA","NA",-0.613,-0.892,-0.954,0.246,-0.644,-0.453,-0.512,-0.564,-0.905
"P07205","PGK2","NA","NA",-0.259,0.465,0.647,0.087,0.45,0.314,0.267,0.211,0.432
"P00558","PGK1","NA","NA",-0.259,0.465,0.647,0.087,0.45,0.314,0.267,0.211,0.432
"P09411","Pgk1","NA","NA",-0.259,0.465,0.647,0.087,0.45,0.314,0.267,0.211,0.432
"O75152","ZC3H11A","NA","NA",-0.448,0.272,0.262,0.04,0.486,0.237,-0.037,0.108,0.4
"Q9BTA9","WAC","NA","NA",-0.359,-0.226,-0.325,0.169,0.447,-0.131,0.271,-0.352,-0.663
"Q921I1","Tf","NA","NA",1.581,2.983,3.936,1.73,2.774,2.99,2.156,0.345,3.563
"Q96AT1","KIAA1143","NA","NA",-0.55,-0.685,-0.947,0.052,-1.08,-0.614,-0.172,-0.323,-0.918
"Q8K039","","NA","NA",-0.55,-0.685,-0.947,0.052,-1.08,-0.614,-0.172,-0.323,-0.918
"A0A0B4J2D5","GATD3B","NA","NA",-0.334,-0.011,-0.346,-0.004,-0.048,-0.047,-0.063,-0.322,-0.557
"P0DPI2","GATD3","NA","NA",-0.334,-0.011,-0.346,-0.004,-0.048,-0.047,-0.063,-0.322,-0.557
"Q9D172","Gatd3","NA","NA",-0.334,-0.011,-0.346,-0.004,-0.048,-0.047,-0.063,-0.322,-0.557
"Q49A26","GLYR1","NA","NA",-0.145,-0.926,-1.103,0.185,-1.523,-1.004,0.321,-0.254,-0.833
"Q922P9","Glyr1","NA","NA",-0.145,-0.926,-1.103,0.185,-1.523,-1.004,0.321,-0.254,-0.833
"Q99KI0","Aco2","NA","NA",-0.841,-0.704,-0.874,0.131,-0.73,-0.693,-0.632,-0.602,-0.788
"Q9BZK7","TBL1XR1","NA","NA",-0.06,-0.134,0.045,0.357,0.221,0.109,0.264,0.038,0.076
"Q96JJ3","ELMO2","NA","NA",-0.397,-0.898,-0.947,-0.33,-1.189,-0.828,-0.856,-0.943,-1.11
"Q8BHL5","Elmo2","NA","NA",-0.397,-0.898,-0.947,-0.33,-1.189,-0.828,-0.856,-0.943,-1.11
"P62258","YWHAE","NA","NA",-0.272,0.279,0.311,0.154,0.444,0.439,-0.089,-0.196,0.33
"P62259","Ywhae","NA","NA",-0.272,0.279,0.311,0.154,0.444,0.439,-0.089,-0.196,0.33
"P13010","XRCC5","NA","NA",-0.382,0.633,0.38,0.343,0.081,0.207,0.264,-0.311,0.227
"Q9UKV3","ACIN1","NA","NA",1.14,1.434,1.05,-0.037,0.127,1.126,1.064,-0.318,-0.21
"P02545","LMNA","NA","NA",-0.219,-0.375,-0.195,0.001,-0.613,-0.567,-0.063,0.664,-0.487
"P62258","YWHAE","NA","NA",-0.178,0.206,0.163,0.098,0.207,0.203,0.611,0.016,0.059
"P62259","Ywhae","NA","NA",-0.178,0.206,0.163,0.098,0.207,0.203,0.611,0.016,0.059
"P07814","EPRS1","NA","NA",-0.077,-0.208,-0.499,0.067,-0.134,-0.068,0.128,-0.019,-0.477
"P00367","GLUD1","NA","NA",-0.083,0.695,0.529,0.328,0.722,0.71,0.162,-0.227,0.511
"P49448","GLUD2","NA","NA",-0.083,0.695,0.529,0.328,0.722,0.71,0.162,-0.227,0.511
"P26443","Glud1","NA","NA",-0.083,0.695,0.529,0.328,0.722,0.71,0.162,-0.227,0.511
"O14734","ACOT8","NA","NA",-0.256,-0.598,-0.717,-0.061,-0.674,-0.55,0.021,0.028,-0.566
"O15417","TNRC18","NA","NA",-0.499,0.154,0.201,0.162,0.226,0.446,0.148,0.007,0.24
"P30038","ALDH4A1","NA","NA",-0.243,1.054,0.543,0.174,1.285,1.073,-0.016,0.788,0.429
"Q8CHT0","Aldh4a1","NA","NA",-0.243,1.054,0.543,0.174,1.285,1.073,-0.016,0.788,0.429
"Q9DBU3","Riok3","NA","NA",-0.648,2.243,1.31,0.679,1.592,2.108,0.533,0.232,1.259
"P49458","SRP9","NA","NA",0.089,0,-0.046,0.335,0.131,-0.069,1.489,0.075,0.142
"P49962","Srp9","NA","NA",0.089,0,-0.046,0.335,0.131,-0.069,1.489,0.075,0.142
"Q9H3U1","UNC45A","NA","NA",-0.208,0.175,0.17,0.143,0.207,0.134,0.078,0.078,0.214
"P63241","EIF5A","NA","NA",-0.246,-0.1,-0.147,0.205,0.134,-0.002,0.026,0.222,-0.301
"Q9GZV4","EIF5A2","NA","NA",-0.246,-0.1,-0.147,0.205,0.134,-0.002,0.026,0.222,-0.301
"P63242","Eif5a","NA","NA",-0.246,-0.1,-0.147,0.205,0.134,-0.002,0.026,0.222,-0.301
"Q8BGY2","Eif5a2","NA","NA",-0.246,-0.1,-0.147,0.205,0.134,-0.002,0.026,0.222,-0.301
"Q99460","PSMD1","NA","NA",-0.123,0.087,-0.296,0.323,-0.18,0.158,0.244,0.026,-0.078
"Q3TXS7","Psmd1","NA","NA",-0.123,0.087,-0.296,0.323,-0.18,0.158,0.244,0.026,-0.078
"Q04760","GLO1","NA","NA",-0.199,0.146,0.142,0.082,0.727,0.284,0.126,-0.365,0.117
"Q9CPU0","Glo1","NA","NA",-0.199,0.146,0.142,0.082,0.727,0.284,0.126,-0.365,0.117
"O75521","ECI2","NA","NA",0.105,0.34,0.192,-0.025,0.156,0.565,0.067,0.598,0.263
"Q9JHT5","Ammecr1","NA","NA",-0.564,-0.127,-0.75,0.052,-0.521,-0.276,0.028,-0.422,-0.485
"Q99714","HSD17B10","NA","NA",-0.198,0.421,0.19,0.023,0.35,0.334,0.066,0.09,0.196
"O75368","SH3BGRL","NA","NA",0.225,1.472,1.405,0.254,1.568,1.507,0.72,0.145,1.417
"Q9JJU8","Sh3bgrl","NA","NA",0.225,1.472,1.405,0.254,1.568,1.507,0.72,0.145,1.417
"Q8IXM2","BAP18","NA","NA",-0.045,-0.432,-0.693,0.144,-0.878,-0.49,-0.095,-0.425,-0.693
"Q9Y6G9","DYNC1LI1","NA","NA",-0.274,0.396,1.11,0.1,1.233,0.34,0.519,-0.168,0.763
"Q8R1Q8","Dync1li1","NA","NA",-0.274,0.396,1.11,0.1,1.233,0.34,0.519,-0.168,0.763
"Q96LD1","SGCZ","NA","NA",-0.174,0.358,0.229,0.024,0.251,0.326,0.109,-0.135,0.382
"P42765","ACAA2","NA","NA",-0.364,-0.8,-0.871,-0.011,-1.123,-0.933,0.119,0.27,-0.878
"Q9C040","TRIM2","NA","NA",-0.285,-0.255,-0.478,0.203,-0.577,-0.379,0.376,0.196,-0.543
"Q9ESN6","Trim2","NA","NA",-0.285,-0.255,-0.478,0.203,-0.577,-0.379,0.376,0.196,-0.543
"P13611","VCAN","NA","NA",-0.063,1.597,1.788,0.43,1.589,1.385,0.762,0.314,1.93
"P31040","SDHA","NA","NA",-0.243,0.559,0.2,0.052,0.57,0.555,0.154,1.59,0.18
"P23528","CFL1","NA","NA",-0.083,1.33,1.149,0.254,0.981,1.239,0.216,0.122,1.176
"Q9Y281","CFL2","NA","NA",-0.083,1.33,1.149,0.254,0.981,1.239,0.216,0.122,1.176
"P45591","Cfl2","NA","NA",-0.083,1.33,1.149,0.254,0.981,1.239,0.216,0.122,1.176
"P18760","Cfl1","NA","NA",-0.083,1.33,1.149,0.254,0.981,1.239,0.216,0.122,1.176
"Q04760","GLO1","NA","NA",-0.183,0.013,-0.354,0.084,0.163,0.184,0.073,-0.037,-0.164
"Q9CPU0","Glo1","NA","NA",-0.183,0.013,-0.354,0.084,0.163,0.184,0.073,-0.037,-0.164
"Q921I1","Tf","NA","NA",-0.088,0.573,0.513,0.22,0.447,0.448,0.004,0.028,0.502
"P06748","NPM1","NA","NA",-0.185,0.814,0.883,0.072,0.707,0.879,0.002,0.006,0.942
"Q9Y2S6","TMA7","NA","NA",-0.218,0.102,0.028,0.173,0.08,0.317,0.071,0.156,0.049
"Q8K003","Tma7","NA","NA",-0.218,0.102,0.028,0.173,0.08,0.317,0.071,0.156,0.049
"O60231","DHX16","NA","NA",-0.047,-1.073,-1.298,0.176,-1.403,-1.179,0.157,-0.003,-1.308
"Q9NW82","WDR70","NA","NA",-0.077,-0.77,-0.877,0.038,-0.817,-0.527,0.322,0.375,-0.848
"Q3TWF6","Wdr70","NA","NA",-0.077,-0.77,-0.877,0.038,-0.817,-0.527,0.322,0.375,-0.848
"Q06830","PRDX1","NA","NA",-0.254,0.093,-0.043,0.377,0.347,0.499,0.249,0.359,0.187
"Q9UKX2","MYH2","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"P11055","MYH3","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"P12882","MYH1","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"P13535","MYH8","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"Q5SX40","Myh1","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"P13541","Myh3","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"Q5SX39","Myh4","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"Q02566","Myh6","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"P13542","Myh8","NA","NA",-1.423,-1.308,-1.705,0.031,-1.236,-1.398,-1.121,-1.077,-1.806
"P63252","KCNJ2","NA","NA",-0.167,0.796,0.817,0.468,1.333,0.474,1.189,0.113,0.543
"P35561","Kcnj2","NA","NA",-0.167,0.796,0.817,0.468,1.333,0.474,1.189,0.113,0.543
"P43243","MATR3","NA","NA",-0.414,-0.375,-0.556,0.062,-0.314,-0.278,0.136,-0.322,-0.478
"Q8K310","Matr3","NA","NA",-0.414,-0.375,-0.556,0.062,-0.314,-0.278,0.136,-0.322,-0.478
"P52888","THOP1","NA","NA",-0.476,0.856,0.837,0.217,1.099,0.87,0.266,0.022,1.138
"Q68CR1","SEL1L3","NA","NA",0.522,0.654,0.338,0.617,0.792,0.642,0.844,0.179,1.01
"Q80TS8","Sel1l3","NA","NA",0.522,0.654,0.338,0.617,0.792,0.642,0.844,0.179,1.01
"P30085","CMPK1","NA","NA",-0.041,0.51,0.411,0.342,0.764,0.744,0.257,0.259,0.566
"Q9DBP5","Cmpk1","NA","NA",-0.041,0.51,0.411,0.342,0.764,0.744,0.257,0.259,0.566
"Q6N021","TET2","NA","NA",-0.18,-0.709,-0.68,0.093,-0.741,-0.562,-0.002,-0.088,-0.665
"P54886","ALDH18A1","NA","NA",-0.064,0.977,0.757,0.366,1.077,1.169,0.283,0.095,0.912
"Q99622","C12orf57","NA","NA",-0.394,-0.163,-0.059,0.013,0.17,-0.218,0.215,-0.419,-0.072
"O35127","Grcc10","NA","NA",-0.394,-0.163,-0.059,0.013,0.17,-0.218,0.215,-0.419,-0.072
"P67936","TPM4","NA","NA",-0.823,-1.372,-1.389,-0.177,-1.316,-1.356,-0.723,-1.097,-1.686
"P07951","TPM2","NA","NA",-0.823,-1.372,-1.389,-0.177,-1.316,-1.356,-0.723,-1.097,-1.686
"P58774","Tpm2","NA","NA",-0.823,-1.372,-1.389,-0.177,-1.316,-1.356,-0.723,-1.097,-1.686
"Q6IRU2","Tpm4","NA","NA",-0.823,-1.372,-1.389,-0.177,-1.316,-1.356,-0.723,-1.097,-1.686
"P54071","Idh2","NA","NA",-0.248,-0.102,-0.243,0.181,-0.33,-0.159,-0.136,1.249,-0.422
"P13693","TPT1","NA","NA",-0.14,1.364,1.133,0.351,1.599,1.354,0.558,0.624,1.186
"Q56UQ5","","NA","NA",-0.14,1.364,1.133,0.351,1.599,1.354,0.558,0.624,1.186
"P63028","Tpt1","NA","NA",-0.14,1.364,1.133,0.351,1.599,1.354,0.558,0.624,1.186
"P13693","TPT1","NA","NA",-0.14,1.364,1.133,0.351,1.599,1.354,0.558,0.624,1.186
"Q56UQ5","","NA","NA",-0.14,1.364,1.133,0.351,1.599,1.354,0.558,0.624,1.186
"P63028","Tpt1","NA","NA",-0.14,1.364,1.133,0.351,1.599,1.354,0.558,0.624,1.186
"O15042","U2SURP","NA","NA",-0.441,0.308,0.022,0.174,0.157,0.407,0.39,-0.087,0.143
"Q6NV83","U2surp","NA","NA",-0.441,0.308,0.022,0.174,0.157,0.407,0.39,-0.087,0.143
"P13639","EEF2","NA","NA",-0.551,-0.543,-0.54,-0.451,-0.504,0.297,-0.246,4.402,-0.479
"Q8TAA3","PSMA8","NA","NA",-0.305,-0.3,-0.359,0.086,-0.298,-0.035,0.164,-0.081,-0.387
"O14818","PSMA7","NA","NA",-0.305,-0.3,-0.359,0.086,-0.298,-0.035,0.164,-0.081,-0.387
"Q9CWH6","Psma8","NA","NA",-0.305,-0.3,-0.359,0.086,-0.298,-0.035,0.164,-0.081,-0.387
"Q9Z2U0","Psma7","NA","NA",-0.305,-0.3,-0.359,0.086,-0.298,-0.035,0.164,-0.081,-0.387
"P09874","PARP1","NA","NA",-0.049,-0.814,-1.13,0.101,-1.079,-0.669,-0.019,-0.086,-0.952
"P12265","Gusb","NA","NA",-0.257,0.503,0.487,0.385,0.674,0.629,0.234,0.371,0.553
"P06733","ENO1","NA","NA",0.106,0.463,0.46,0.363,0.237,0.445,0.065,0.023,0.461
"P17182","Eno1","NA","NA",0.106,0.463,0.46,0.363,0.237,0.445,0.065,0.023,0.461
"Q15291","RBBP5","NA","NA",-0.246,-1.147,-1.481,-0.102,-0.922,-1.336,0.212,-0.369,-1.312
"P40227","CCT6A","NA","NA",-0.411,0.074,-0.18,0.104,0.007,0.042,0.145,-0.067,-0.095
"Q9Y5B6","PAXBP1","NA","NA",-0.152,0.142,-0.155,0.162,0.134,0.088,0.153,-0.148,0.018
"P58501","Paxbp1","NA","NA",-0.152,0.142,-0.155,0.162,0.134,0.088,0.153,-0.148,0.018
"O75152","ZC3H11A","NA","NA",-0.494,-0.256,-0.585,0.168,-0.295,0.035,0.168,-0.157,-0.624
"P46087","NOP2","NA","NA",-0.221,0.135,-0.12,-0.134,0.087,0.291,0.686,0.784,-0.145
"Q9HCC0","MCCC2","NA","NA",-0.396,0.67,0.01,0.031,0.642,0.613,-0.118,-0.434,0.095
"P08133","ANXA6","NA","NA",-0.018,0.713,1.011,0.395,1.038,0.937,0.394,0.313,0.867
"P14824","Anxa6","NA","NA",-0.018,0.713,1.011,0.395,1.038,0.937,0.394,0.313,0.867
"Q8NEZ4","KMT2C","NA","NA",-0.408,-0.597,-0.643,-0.077,-0.709,-0.959,0.066,-0.497,-0.71
"O60885","BRD4","NA","NA",-0.245,-0.188,-0.065,0.043,-0.229,-0.055,0.097,-0.074,-0.045
"Q9ESU6","Brd4","NA","NA",-0.245,-0.188,-0.065,0.043,-0.229,-0.055,0.097,-0.074,-0.045
"P08133","ANXA6","NA","NA",0.252,1.034,0.952,0.701,1.244,1.062,0.588,0.443,1.055
"P14824","Anxa6","NA","NA",0.252,1.034,0.952,0.701,1.244,1.062,0.588,0.443,1.055
"Q09666","AHNAK","NA","NA",-0.208,1.313,1.095,0.27,1.441,1.527,0.453,0.062,1.077
"Q02543","RPL18A","NA","NA",-0.414,-0.265,-0.263,-0.122,0.03,0.003,-0.065,-0.249,-0.177
"P35754","GLRX","NA","NA",-0.298,0.13,0.075,0.178,-0.086,0.186,-0.024,0.094,0.093
"Q9QUH0","Glrx","NA","NA",-0.298,0.13,0.075,0.178,-0.086,0.186,-0.024,0.094,0.093
"P06732","CKM","NA","NA",-0.741,-0.61,-0.753,0.073,-0.598,-0.636,-0.273,-0.405,-0.937
"P07310","Ckm","NA","NA",-0.741,-0.61,-0.753,0.073,-0.598,-0.636,-0.273,-0.405,-0.937
"Q8NDX6","ZNF740","NA","NA",-0.046,0.502,0.45,0.397,0.261,0.525,0.203,-0.01,0.479
"O15212","PFDN6","NA","NA",-0.266,-0.503,-0.722,0.014,-1.027,-0.479,-0.009,-0.36,-0.74
"Q03958","Pfdn6","NA","NA",-0.266,-0.503,-0.722,0.014,-1.027,-0.479,-0.009,-0.36,-0.74
"Q8N8S7","ENAH","NA","NA",-0.009,-0.242,-0.291,0.132,-0.242,0.093,0.736,0.09,-0.009
"Q03173","Enah","NA","NA",-0.009,-0.242,-0.291,0.132,-0.242,0.093,0.736,0.09,-0.009
"Q9Y2C3","B3GALT5","NA","NA",-0.328,0.34,0.281,0.236,0.908,-0.101,1.324,-0.198,0.293
"P13010","XRCC5","NA","NA",-0.255,0.04,-0.137,0.188,0.16,0.254,0.123,-0.155,-0.054
"O75530","EED","NA","NA",-0.226,-0.389,-0.452,-0.015,-0.717,-0.262,-0.053,-0.15,-0.764
"Q16666","IFI16","NA","NA",-0.376,1.258,1.895,-0.381,1.186,1.278,-0.305,-0.329,1.755
"P22392","NME2","NA","NA",0.049,0.107,0.06,0.103,-0.025,0.079,0.073,0.908,0.147
"P15531","NME1","NA","NA",0.049,0.107,0.06,0.103,-0.025,0.079,0.073,0.908,0.147
"Q15075","EEA1","NA","NA",-0.036,0.75,0.554,0.471,0.551,0.725,0.448,0.249,0.432
"Q8BL66","Eea1","NA","NA",-0.036,0.75,0.554,0.471,0.551,0.725,0.448,0.249,0.432
"P49419","ALDH7A1","NA","NA",-0.186,0.842,0.51,-0.005,0.999,0.893,0.495,-0.875,0.491
"P08238","HSP90AB1","NA","NA",0.708,-0.115,0.09,0.287,-0.105,0.009,0.448,0.234,-0.081
"P11499","Hsp90ab1","NA","NA",0.708,-0.115,0.09,0.287,-0.105,0.009,0.448,0.234,-0.081
"Q13263","TRIM28","NA","NA",-0.489,0.139,-0.056,-0.249,0.237,0.117,0.019,-0.486,-0.067
"Q62318","Trim28","NA","NA",-0.489,0.139,-0.056,-0.249,0.237,0.117,0.019,-0.486,-0.067
"Q9BTK6","PAGR1","NA","NA",-0.363,-0.563,-0.665,0.102,-0.674,-0.467,-0.019,-0.12,-0.633
"Q99L02","Pagr1a","NA","NA",-0.363,-0.563,-0.665,0.102,-0.674,-0.467,-0.019,-0.12,-0.633
"P00505","GOT2","NA","NA",-0.498,0.217,-0.095,0.12,0.328,0.153,0.107,-0.163,0.019
"P05202","Got2","NA","NA",-0.498,0.217,-0.095,0.12,0.328,0.153,0.107,-0.163,0.019
"P04843","RPN1","NA","NA",-0.154,0.122,-0.115,0.095,0.332,0.326,0.121,0.215,0.145
"Q91YQ5","Rpn1","NA","NA",-0.154,0.122,-0.115,0.095,0.332,0.326,0.121,0.215,0.145
"Q5S003","Spag17","NA","NA",-0.267,-0.831,-1.406,-0.01,-1.146,-0.91,-0.33,-0.337,-1.382
"Q9NYK5","MRPL39","NA","NA",-0.096,0.44,0.212,0.17,0.406,0.362,0.152,-0.228,0.235
"Q9JKF7","Mrpl39","NA","NA",-0.096,0.44,0.212,0.17,0.406,0.362,0.152,-0.228,0.235
"P16858","Gapdh","NA","NA",-0.606,-0.338,-0.575,0.076,-0.699,-0.307,-0.09,-0.32,-0.516
"P49959","MRE11","NA","NA",-0.345,0.55,0.418,0.435,0.419,0.604,0.407,0,0.474
"Q9UPP1","PHF8","NA","NA",-0.548,-1.212,-1.246,-0.085,-1.477,-0.939,-0.675,-0.388,-1.135
"Q80TJ7","Phf8","NA","NA",-0.548,-1.212,-1.246,-0.085,-1.477,-0.939,-0.675,-0.388,-1.135
"Q96FQ6","S100A16","NA","NA",-0.384,-0.05,-0.391,0.036,0.16,-0.198,0.011,0.461,-0.241
"Q9D708","S100a16","NA","NA",-0.384,-0.05,-0.391,0.036,0.16,-0.198,0.011,0.461,-0.241
"Q9UPN9","TRIM33","NA","NA",-0.159,-0.147,-0.395,0.399,-0.114,0.193,0.311,2.626,-0.133
"P17931","LGALS3","NA","NA",-0.215,0.016,0.205,0.237,0.558,0.08,0.101,-0.062,0.004
"O94776","MTA2","NA","NA",-0.079,-0.185,-0.269,0.327,-0.048,0.102,0.328,-0.01,-0.409
"P17480","UBTF","NA","NA",-0.464,-0.513,-0.397,-0.094,-0.256,-0.443,-0.663,-0.359,-0.411
"P50395","GDI2","NA","NA",-0.144,0.259,0.238,0.103,0.169,0.333,-0.043,3.424,0.41
"Q61598","Gdi2","NA","NA",-0.144,0.259,0.238,0.103,0.169,0.333,-0.043,3.424,0.41
"Q14980","NUMA1","NA","NA",-0.547,-0.95,-1.214,-0.117,-1.117,-0.932,-0.262,-0.584,-1.192
"Q02878","RPL6","NA","NA",-0.257,0.394,0.139,0.144,0.693,0.3,0.742,-0.195,-0.132
