accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_079783,0.047,-2.187,-2.384,0.228,-2.153,-2.309,0.42,0.189,-2.497
NP_077003,-0.057,0.179,0.143,0.341,0.093,0.288,0.394,0.385,0.34
NP_115958,-0.255,0.328,-0.204,0.324,-0.171,0.118,-0.033,0.343,0.029
NP_001073282,-0.255,0.328,-0.204,0.324,-0.171,0.118,-0.033,0.343,0.029
NP_082996,-0.255,0.328,-0.204,0.324,-0.171,0.118,-0.033,0.343,0.029
NP_056300,0.007,-0.512,-0.556,0.208,-0.835,-0.467,0.043,-0.002,-0.627
NP_001265177,0.007,-0.512,-0.556,0.208,-0.835,-0.467,0.043,-0.002,-0.627
NP_079913,0.007,-0.512,-0.556,0.208,-0.835,-0.467,0.043,-0.002,-0.627
NP_082732,0.007,-0.512,-0.556,0.208,-0.835,-0.467,0.043,-0.002,-0.627
NP_002618,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_002617,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_001229268,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_062677,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_032852,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_002618,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_002617,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_001229268,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_062677,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_032852,-0.267,-2.421,-2.359,-0.047,-4.204,-2.381,-0.379,-0.334,-2.889
NP_003079,-0.148,-0.172,-0.168,0.148,-0.099,-0.219,0.239,-0.074,-0.039
NP_543023,-0.406,-1.121,-1.494,0.104,-1.899,-1.136,-0.429,-0.319,-1.35
NP_001160158,-0.687,-1.551,-2.247,0.4,-4.023,-1.795,-0.156,-0.7,-2.31
NP_000280,-0.687,-1.551,-2.247,0.4,-4.023,-1.795,-0.156,-0.7,-2.31
NP_001156960,-0.687,-1.551,-2.247,0.4,-4.023,-1.795,-0.156,-0.7,-2.31
NP_033784,-0.011,0.482,0.358,0.276,0.334,0.326,0.528,-0.029,0.421
NP_004406,-0.048,-0.49,-0.362,0.248,-0.275,-0.279,-0.241,0.015,-0.362
NP_001008844,-0.048,-0.49,-0.362,0.248,-0.275,-0.279,-0.241,0.015,-0.362
NP_076331,-0.048,-0.49,-0.362,0.248,-0.275,-0.279,-0.241,0.015,-0.362
NP_057951,-0.216,-2.367,-2.934,-0.101,-3.707,-2.546,-0.36,-0.125,-3.378
NP_031393,-0.216,-2.367,-2.934,-0.101,-3.707,-2.546,-0.36,-0.125,-3.378
NP_001132985,-0.216,-2.367,-2.934,-0.101,-3.707,-2.546,-0.36,-0.125,-3.378
NP_001132984,-0.216,-2.367,-2.934,-0.101,-3.707,-2.546,-0.36,-0.125,-3.378
NP_065118,-0.079,-0.426,-0.385,0.027,-0.352,-0.334,0.312,-0.141,-0.702
NP_001266278,-0.079,-0.426,-0.385,0.027,-0.352,-0.334,0.312,-0.141,-0.702
NP_001091868,-0.146,1.296,0.967,0.594,1.259,0.699,0.263,0.019,1.22
NP_004362,-0.146,1.296,0.967,0.594,1.259,0.699,0.263,0.019,1.22
NP_034068,-0.146,1.296,0.967,0.594,1.259,0.699,0.263,0.019,1.22
NP_055444,-0.524,1.07,1.176,0.2,0.804,0.975,0.205,0.072,1.225
NP_037418,-0.352,-1.379,-2.331,-0.03,-1.9,-1.244,-0.313,-0.265,-1.791
NP_780611,-0.352,-1.379,-2.331,-0.03,-1.9,-1.244,-0.313,-0.265,-1.791
NP_490597,-0.42,0.055,0.098,0.054,0.072,0.074,0.197,-0.192,0.075
NP_115812,-0.039,-2.616,NA,-0.182,NA,-3.488,-0.174,-1.011,NA
NP_035010,-0.159,0.035,0.01,0.204,0.083,-0.172,0.9,-0.214,-0.042
NP_006708,-0.432,-1.146,-1.488,0.105,-1.094,-0.951,-0.1,-0.322,-1.597
NP_001931,-0.817,-0.183,-0.592,-0.157,-0.527,0.272,-0.268,-0.58,-2.02
NP_065090,-0.326,0.072,-0.357,0.055,-0.114,0.124,0.072,-0.064,-0.26
NP_035595,-0.299,-0.357,-0.22,-0.011,-0.025,0.04,1.021,-0.466,-0.164
NP_000962,0.113,-0.007,-0.32,0.319,-0.146,-0.051,0.097,0.065,-0.292
NP_035421,0.113,-0.007,-0.32,0.319,-0.146,-0.051,0.097,0.065,-0.292
NP_001138229,0.113,-0.007,-0.32,0.319,-0.146,-0.051,0.097,0.065,-0.292
NP_003011,0.113,-0.007,-0.32,0.319,-0.146,-0.051,0.097,0.065,-0.292
NP_033188,0.113,-0.007,-0.32,0.319,-0.146,-0.051,0.097,0.065,-0.292
NP_055542,-0.321,-0.579,-1.258,0.043,-0.808,-0.692,-0.018,0.005,-0.865
NP_083550,-0.321,-0.579,-1.258,0.043,-0.808,-0.692,-0.018,0.005,-0.865
NP_054790,-0.186,-2.611,-2.534,-0.138,-4.398,-2.742,-0.324,-0.343,-3.042
NP_002804,-0.103,-0.757,-0.829,0.256,-0.24,-0.399,-0.16,-0.893,-0.482
NP_001248329,-0.103,-0.757,-0.829,0.256,-0.24,-0.399,-0.16,-0.893,-0.482
NP_080276,-0.103,-0.757,-0.829,0.256,-0.24,-0.399,-0.16,-0.893,-0.482
NP_003303,-0.049,-0.173,-0.183,0.076,-0.211,0.035,-0.235,0.242,-0.07
NP_033463,-0.049,-0.173,-0.183,0.076,-0.211,0.035,-0.235,0.242,-0.07
NP_149156,0.069,-0.551,-0.489,0.28,-0.872,0.298,0.09,-0.008,-0.309
NP_001239261,0.069,-0.551,-0.489,0.28,-0.872,0.298,0.09,-0.008,-0.309
NP_001239262,0.069,-0.551,-0.489,0.28,-0.872,0.298,0.09,-0.008,-0.309
NP_004765,-0.506,-0.141,-0.618,0.479,-1.572,-0.353,-0.867,-0.478,-0.657
NP_001241647,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_002456,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_996555,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_001241648,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_996556,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_001241652,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_001241649,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_001241650,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_996557,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_001241651,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_001239301,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_780627,-1.256,-1.285,-1.323,-0.003,-1.113,-1.18,-1.081,-0.919,-1.363
NP_008841,0.064,0.04,-0.054,0.167,-0.068,0.029,0.359,-0.086,-0.208
NP_061173,0.064,0.04,-0.054,0.167,-0.068,0.029,0.359,-0.086,-0.208
NP_115716,1.242,2.085,1.074,1.294,1.641,1.379,1.076,1.24,0.813
NP_080339,1.242,2.085,1.074,1.294,1.641,1.379,1.076,1.24,0.813
NP_003291,-0.304,0.472,0.49,0.186,0.508,0.611,-0.012,-0.098,0.482
NP_663778,-0.304,0.472,0.49,0.186,0.508,0.611,-0.012,-0.098,0.482
NP_001186356,-0.304,0.472,0.49,0.186,0.508,0.611,-0.012,-0.098,0.482
NP_035762,-0.304,0.472,0.49,0.186,0.508,0.611,-0.012,-0.098,0.482
NP_001041671,-0.304,0.472,0.49,0.186,0.508,0.611,-0.012,-0.098,0.482
NP_056224,-0.371,-0.091,-0.036,0.018,0.178,-0.127,0.339,-0.112,-0.163
NP_000960,-0.326,-0.541,-0.73,0.117,-0.443,-0.423,-0.329,-0.276,-0.507
NP_058676,-0.326,-0.541,-0.73,0.117,-0.443,-0.423,-0.329,-0.276,-0.507
NP_778235,-0.336,-1.582,-1.958,0.027,-2.369,-1.724,-1.022,-0.386,-2.332
NP_835585,-0.336,-1.582,-1.958,0.027,-2.369,-1.724,-1.022,-0.386,-2.332
NP_006188,-0.186,-1.064,-1.247,0.193,-1.274,-0.907,-0.215,-0.179,-1.428
NP_001095879,-0.033,-0.275,-0.603,0.135,0.282,0.072,-0.463,0.081,-0.017
NP_075614,-0.033,-0.275,-0.603,0.135,0.282,0.072,-0.463,0.081,-0.017
NP_005313,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
NP_005312,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
NP_005310,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
NP_064418,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
NP_663759,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
NP_056602,0.004,0.672,0.294,0.428,-0.177,0.868,0.508,0.118,0.394
NP_000687,-0.482,-0.215,-0.584,-0.173,-0.223,-0.136,0.158,-0.091,-0.47
NP_002464,-0.377,-0.006,-0.265,0.271,0.104,-0.223,0.024,-0.322,-0.208
NP_004628,0.132,0.762,0.441,0.302,1.019,0.727,0.57,0.405,0.547
NP_033031,0.132,0.762,0.441,0.302,1.019,0.727,0.57,0.405,0.547
NP_733751,0.055,-0.513,-0.978,0.321,-1.064,-0.478,0.92,-0.051,-1.097
NP_115812,-0.209,0.229,0.286,0.209,0.302,-0.016,0.006,0.086,0.191
NP_065128,-0.266,-0.257,-0.297,0.202,-0.636,0.158,0.287,-0.375,-0.342
NP_082203,-0.266,-0.257,-0.297,0.202,-0.636,0.158,0.287,-0.375,-0.342
NP_149034,-0.072,-0.407,-0.607,0.11,-0.463,-0.405,0.023,-0.277,-0.498
NP_003013,-0.041,1.998,1.66,0.466,2.221,1.919,0.65,-0.084,1.713
NP_064373,-0.041,1.998,1.66,0.466,2.221,1.919,0.65,-0.084,1.713
NP_001395,0.915,-0.196,0.29,0.004,-0.073,-0.154,0.594,0.133,-0.187
NP_001026902,-0.314,-0.121,-0.577,0.304,-0.251,-0.34,0.348,-0.264,0.076
NP_588611,-0.314,-0.121,-0.577,0.304,-0.251,-0.34,0.348,-0.264,0.076
NP_808348,-0.314,-0.121,-0.577,0.304,-0.251,-0.34,0.348,-0.264,0.076
NP_004578,-0.009,0.459,0.563,0.214,0.798,0.579,0.376,-0.15,0.472
NP_004554,-0.587,0.888,0.545,-0.007,0.959,0.715,0.465,0.28,0.686
NP_001018083,-0.587,0.888,0.545,-0.007,0.959,0.715,0.465,0.28,0.686
NP_083270,-0.587,0.888,0.545,-0.007,0.959,0.715,0.465,0.28,0.686
NP_078993,-0.099,0.262,0.237,-0.001,0.539,0.285,0.238,-0.139,0.456
NP_001002796,-0.099,0.262,0.237,-0.001,0.539,0.285,0.238,-0.139,0.456
NP_084450,-0.099,0.262,0.237,-0.001,0.539,0.285,0.238,-0.139,0.456
NP_958782,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_000436,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_958785,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_958784,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_958786,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_958780,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_958781,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_958783,-0.339,0.274,0.162,0.154,0.464,0.452,-0.029,-0.252,0.173
NP_005436,-0.071,0.259,-0.068,0.085,0.377,0.16,0.283,0.032,0.153
NP_031816,-0.071,0.259,-0.068,0.085,0.377,0.16,0.283,0.032,0.153
NP_001059,0.026,-0.372,-0.575,0.167,-0.286,-0.123,0.311,0.955,-0.381
NP_003320,-0.118,0.167,0.161,0.01,0.577,0.325,0.032,-0.091,0.213
NP_001231867,-0.118,0.167,0.161,0.01,0.577,0.325,0.032,-0.091,0.213
NP_035790,-0.118,0.167,0.161,0.01,0.577,0.325,0.032,-0.091,0.213
NP_001032726,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_001198,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_689478,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_001230696,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_663430,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_001164011,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_081729,-0.498,-2.163,-2.361,-0.385,-3.18,-2.039,-0.19,-0.517,-2.081
NP_066952,-0.016,0.353,0.316,0.198,0.252,0.342,0.363,0.093,0.248
NP_080714,-0.016,0.353,0.316,0.198,0.252,0.342,0.363,0.093,0.248
NP_001000,-0.401,-0.095,-0.609,0.099,-0.123,-0.273,-0.082,-0.713,-0.674
NP_033121,-0.401,-0.095,-0.609,0.099,-0.123,-0.273,-0.082,-0.713,-0.674
NP_004095,0.141,0.83,0.602,0.574,0.823,0.842,0.257,0.113,0.768
NP_001247421,0.043,0.383,0.511,0.261,0.288,0.175,-0.033,0.18,0.514
NP_002897,0.043,0.383,0.511,0.261,0.288,0.175,-0.033,0.18,0.514
NP_002435,0.043,0.383,0.511,0.261,0.288,0.175,-0.033,0.18,0.514
NP_001247423,0.043,0.383,0.511,0.261,0.288,0.175,-0.033,0.18,0.514
NP_033067,0.043,0.383,0.511,0.261,0.288,0.175,-0.033,0.18,0.514
NP_001098087,0.043,0.383,0.511,0.261,0.288,0.175,-0.033,0.18,0.514
NP_066299,0.105,-0.082,-0.087,0.136,0.037,-0.184,0.329,-0.225,0.123
NP_524147,0.105,-0.082,-0.087,0.136,0.037,-0.184,0.329,-0.225,0.123
NP_034990,0.105,-0.082,-0.087,0.136,0.037,-0.184,0.329,-0.225,0.123
NP_001006,-0.205,0.019,0.089,0.023,-0.199,0.143,0.054,0.122,0.043
NP_038753,-0.205,0.019,0.089,0.023,-0.199,0.143,0.054,0.122,0.043
NP_003365,-0.004,0.391,0.326,0.198,0.632,0.552,0.621,0.746,0.497
NP_006810,-0.199,-0.545,-0.83,0.253,-0.947,-0.657,0.006,-0.272,-0.855
NP_061155,-0.436,-1.372,-2.674,-0.025,-2.873,-1.33,-0.07,-0.626,-2.011
NP_058632,-0.204,0.69,0.455,0.279,0.379,0.519,0.403,-0.008,0.47
NP_065882,-0.36,-1.6,-2.507,-0.139,-2.505,-1.906,-0.284,-0.409,-1.913
NP_694629,-0.36,-1.6,-2.507,-0.139,-2.505,-1.906,-0.284,-0.409,-1.913
NP_001076005,-0.36,-1.6,-2.507,-0.139,-2.505,-1.906,-0.284,-0.409,-1.913
NP_003565,-0.311,1.078,0.855,0.258,1.442,1.108,0.241,-0.383,0.886
NP_919415,-0.311,1.078,0.855,0.258,1.442,1.108,0.241,-0.383,0.886
NP_038961,-0.311,1.078,0.855,0.258,1.442,1.108,0.241,-0.383,0.886
NP_001160017,-0.189,0.105,0.09,0.174,-0.017,0.134,0.451,-0.171,0.046
NP_001160008,-0.189,0.105,0.09,0.174,-0.017,0.134,0.451,-0.171,0.046
NP_001160015,-0.189,0.105,0.09,0.174,-0.017,0.134,0.451,-0.171,0.046
NP_001160009,-0.189,0.105,0.09,0.174,-0.017,0.134,0.451,-0.171,0.046
NP_057123,-0.109,-0.497,-0.407,-0.308,-0.867,-0.049,-0.192,-0.118,-0.482
NP_080804,-0.109,-0.497,-0.407,-0.308,-0.867,-0.049,-0.192,-0.118,-0.482
NP_073744,-0.138,-0.506,-0.392,0.083,-0.326,-0.356,-0.081,-0.404,-0.395
NP_001238965,0.252,0.34,0.346,0.388,0.562,0.383,0.377,0.013,0.149
NP_004153,0.252,0.34,0.346,0.388,0.562,0.383,0.377,0.013,0.149
NP_803130,0.252,0.34,0.346,0.388,0.562,0.383,0.377,0.013,0.149
NP_080163,0.252,0.34,0.346,0.388,0.562,0.383,0.377,0.013,0.149
NP_005110,-0.12,0.094,0.05,0.164,0.079,0.182,0.275,0.504,0.001
NP_666265,-0.12,0.094,0.05,0.164,0.079,0.182,0.275,0.504,0.001
NP_478062,-0.38,-0.977,-1.357,0.007,-1.028,-1.062,-0.173,-0.315,-1.261
NP_071496,-0.143,-2.339,-2.979,-0.091,-2.917,-2.506,-0.469,-0.792,-2.451
NP_114381,-0.143,-2.339,-2.979,-0.091,-2.917,-2.506,-0.469,-0.792,-2.451
NP_291039,-0.143,-2.339,-2.979,-0.091,-2.917,-2.506,-0.469,-0.792,-2.451
NP_005434,-0.08,0.114,0.053,0.262,0.106,0.164,0.104,0.269,0.05
NP_035993,-0.08,0.114,0.053,0.262,0.106,0.164,0.104,0.269,0.05
NP_055238,-0.389,-0.187,-0.019,0.163,-0.178,0.325,-0.107,-0.429,-0.165
NP_291043,-0.389,-0.187,-0.019,0.163,-0.178,0.325,-0.107,-0.429,-0.165
NP_001123561,-0.088,-0.611,-1.074,0.014,-1.036,-0.644,0.049,-0.116,-0.73
NP_005539,-0.088,-0.611,-1.074,0.014,-1.036,-0.644,0.049,-0.116,-0.73
NP_995314,-0.182,-0.096,-0.1,0.023,-0.332,0.077,-0.09,-0.093,-0.085
NP_038464,-0.182,-0.096,-0.1,0.023,-0.332,0.077,-0.09,-0.093,-0.085
NP_058661,-0.182,-0.096,-0.1,0.023,-0.332,0.077,-0.09,-0.093,-0.085
NP_055987,-0.296,-0.084,-0.072,0.096,-0.474,-0.13,0.609,-0.621,0.046
NP_055842,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960663,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960664,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960658,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960659,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960661,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960665,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960662,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960666,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
XP_003960660,-0.711,-0.757,-1.19,-0.285,-0.231,-0.174,-0.843,0.054,-0.831
NP_005959,0.197,-0.639,-0.297,-0.195,-0.188,-0.507,0.432,-0.001,-0.163
NP_112480,0.197,-0.639,-0.297,-0.195,-0.188,-0.507,0.432,-0.001,-0.163
NP_000875,-0.065,0.942,0.672,0.721,0.956,1.088,0.48,1.346,0.7
NP_035960,-0.065,0.942,0.672,0.721,0.956,1.088,0.48,1.346,0.7
NP_613063,-0.395,-0.945,-1.257,-0.003,-1.069,-0.872,-0.526,-0.434,-1.19
NP_001473,-0.34,-0.586,-0.543,0.332,-0.711,-0.294,0.288,0.089,-0.406
NP_080237,-0.34,-0.586,-0.543,0.332,-0.711,-0.294,0.288,0.089,-0.406
NP_006316,-0.168,-0.048,-0.377,0.319,0.227,0.177,0.48,-0.186,0.01
NP_001074564,-0.168,-0.048,-0.377,0.319,0.227,0.177,0.48,-0.186,0.01
NP_033417,-0.168,-0.048,-0.377,0.319,0.227,0.177,0.48,-0.186,0.01
NP_620305,-0.127,-0.392,-0.042,-0.009,-0.324,-0.203,0.379,0.263,-0.258
NP_115571,-0.127,-0.392,-0.042,-0.009,-0.324,-0.203,0.379,0.263,-0.258
NP_031398,-0.43,-2.947,-3.568,0.116,-5.035,-2.532,-2.315,-0.861,-3.524
NP_066997,-0.466,-1.047,-1.516,-0.306,-1.427,-0.95,-0.23,-0.714,-1.137
NP_000968,0.123,-0.672,-0.558,0.296,-0.628,0.022,0.572,-0.005,-0.505
NP_001230060,0.123,-0.672,-0.558,0.296,-0.628,0.022,0.572,-0.005,-0.505
NP_058018,0.123,-0.672,-0.558,0.296,-0.628,0.022,0.572,-0.005,-0.505
NP_862897,0.108,1.111,1.365,0.453,1.118,1.152,0.442,1.49,1.206
NP_065969,-0.534,-0.218,-0.195,0.041,-0.126,0.049,0.009,-0.11,-0.463
NP_001688,-0.127,1.447,0.751,0.245,1.392,1.003,0.336,0.414,0.778
NP_057480,-0.124,0.357,0.716,0.011,0.084,0.696,0.415,-0.118,0.661
NP_997615,-0.124,0.357,0.716,0.011,0.084,0.696,0.415,-0.118,0.661
NP_002463,-1.353,-1.279,-1.529,0.114,-1.552,-1.197,-0.988,-0.507,-1.374
NP_109604,-1.353,-1.279,-1.529,0.114,-1.552,-1.197,-0.988,-0.507,-1.374
NP_034985,-1.353,-1.279,-1.529,0.114,-1.552,-1.197,-0.988,-0.507,-1.374
NP_796343,-1.353,-1.279,-1.529,0.114,-1.552,-1.197,-0.988,-0.507,-1.374
NP_127492,-0.425,-0.351,-0.398,-0.027,-0.436,-0.294,-0.272,-0.352,-0.604
NP_127493,-0.425,-0.351,-0.398,-0.027,-0.436,-0.294,-0.272,-0.352,-0.604
NP_127494,-0.425,-0.351,-0.398,-0.027,-0.436,-0.294,-0.272,-0.352,-0.604
NP_001157108,-0.425,-0.351,-0.398,-0.027,-0.436,-0.294,-0.272,-0.352,-0.604
NP_001509,-0.425,-0.351,-0.398,-0.027,-0.436,-0.294,-0.272,-0.352,-0.604
NP_127492,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_127493,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_127494,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_001157108,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_001509,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_001074215,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_034495,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_001074216,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_001074218,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_001074217,-0.176,0.247,-0.032,0.034,-0.004,0.239,0.067,0.785,-0.012
NP_002464,-0.202,1.007,0.675,0.237,1.044,0.992,0.33,0.221,0.711
NP_071855,-0.202,1.007,0.675,0.237,1.044,0.992,0.33,0.221,0.711
NP_000909,0.771,0.011,0.226,0.202,0.262,0.289,0.277,-0.26,0.428
NP_031632,0.039,-0.185,-0.744,0.219,-0.394,-0.583,-0.292,-0.238,-0.795
NP_150091,-0.713,-2.311,-2.615,-0.186,-1.912,-1.18,0.272,-1.105,-2.293
NP_066967,-0.713,-2.311,-2.615,-0.186,-1.912,-1.18,0.272,-1.105,-2.293
NP_001173,0.008,0.353,0.36,0.279,0.413,0.359,0.148,-0.037,0.076
NP_001188306,0.008,0.353,0.36,0.279,0.413,0.359,0.148,-0.037,0.076
NP_001189333,0.008,0.353,0.36,0.279,0.413,0.359,0.148,-0.037,0.076
NP_004732,-0.108,-0.412,-0.631,0.159,-0.584,-0.49,0.349,0.02,-0.864
NP_004732,-0.084,0.238,-0.274,0.237,-0.289,0.172,0.325,-0.159,-0.234
NP_001139699,-0.186,0.197,0.344,0.338,0.162,0.276,0.046,0.108,0.386
NP_001014,-0.186,0.197,0.344,0.338,0.162,0.276,0.046,0.108,0.386
NP_080423,-0.186,0.197,0.344,0.338,0.162,0.276,0.046,0.108,0.386
NP_003959,-0.063,-0.539,-0.664,0.364,-0.279,-0.414,0.569,-0.159,-0.426
NP_035796,-0.063,-0.539,-0.664,0.364,-0.279,-0.414,0.569,-0.159,-0.426
NP_932343,0.167,-0.625,-0.487,0.348,-0.796,-0.271,0.262,0.1,-0.443
NP_002146,0.254,-1.841,-1.399,-0.286,-2.201,-1.34,0.6,-0.142,-1.466
NP_005337,0.254,-1.841,-1.399,-0.286,-2.201,-1.34,0.6,-0.142,-1.466
NP_034608,0.254,-1.841,-1.399,-0.286,-2.201,-1.34,0.6,-0.142,-1.466
NP_038586,0.254,-1.841,-1.399,-0.286,-2.201,-1.34,0.6,-0.142,-1.466
NP_034609,0.254,-1.841,-1.399,-0.286,-2.201,-1.34,0.6,-0.142,-1.466
NP_665807,-0.168,0.4,0.294,0.12,0.338,0.42,0.08,-0.066,0.37
NP_032124,-0.168,0.4,0.294,0.12,0.338,0.42,0.08,-0.066,0.37
NP_001239374,-0.204,0.217,0.086,0.164,-0.215,0.149,0.081,-0.147,0.023
NP_005316,-0.215,-0.837,-0.929,0.316,-0.764,-0.608,0.346,-0.084,-0.775
NP_060740,-0.112,-0.706,-0.664,-0.001,-0.991,-0.538,0.051,-0.332,-0.665
NP_082755,-0.112,-0.706,-0.664,-0.001,-0.991,-0.538,0.051,-0.332,-0.665
NP_056601,-0.461,0.35,0.122,0.015,-0.091,0.446,-0.156,-0.275,0.129
NP_006449,-0.282,-0.325,-0.15,0.077,-0.549,-0.205,-0.013,-0.09,-0.184
NP_001234936,-0.282,-0.325,-0.15,0.077,-0.549,-0.205,-0.013,-0.09,-0.184
NP_061368,-0.282,-0.325,-0.15,0.077,-0.549,-0.205,-0.013,-0.09,-0.184
NP_060218,-0.701,-1.05,-1.351,-0.394,-0.57,-0.97,-0.54,-0.274,-0.892
NP_003449,-0.174,-0.999,-1.396,0.181,-1.769,-0.677,0.273,-0.19,-1.191
NP_005313,-0.174,-0.999,-1.396,0.181,-1.769,-0.677,0.273,-0.19,-1.191
NP_031593,-0.174,-0.999,-1.396,0.181,-1.769,-0.677,0.273,-0.19,-1.191
NP_064418,-0.174,-0.999,-1.396,0.181,-1.769,-0.677,0.273,-0.19,-1.191
NP_001104518,0.421,0.178,0.373,0.467,-0.007,0.138,0.589,0.366,0.353
NP_034326,0.421,0.178,0.373,0.467,-0.007,0.138,0.589,0.366,0.353
