accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_001419,-0.111,1.052,1.15,0.194,1.15,1.101,0.182,0.124,1.199
NP_001188412,-0.111,1.052,1.15,0.194,1.15,1.101,0.182,0.124,1.199
NP_075608,-0.111,1.052,1.15,0.194,1.15,1.101,0.182,0.124,1.199
NP_001395,-0.135,0.638,0.206,0.326,0.752,0.547,0.161,-0.065,0.2
NP_001012302,-0.107,0.869,1.038,0.094,0.731,0.976,-0.201,0.027,1.03
NP_005685,-0.596,2.26,2.081,0.454,2.643,2.143,0.552,0.04,2.037
NP_001017429,-0.596,2.26,2.081,0.454,2.643,2.143,0.552,0.04,2.037
NP_002130,-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
NP_062556,-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
NP_001160095,-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
NP_001239018,-0.057,2.111,1.935,0.349,1.885,2.003,0.776,0.303,1.705
NP_620305,-0.228,-0.169,-0.405,0.146,-0.387,-0.138,0.147,-0.277,-0.387
NP_115571,-0.228,-0.169,-0.405,0.146,-0.387,-0.138,0.147,-0.277,-0.387
NP_849211,-0.228,-0.169,-0.405,0.146,-0.387,-0.138,0.147,-0.277,-0.387
NP_064357,-0.228,-0.169,-0.405,0.146,-0.387,-0.138,0.147,-0.277,-0.387
NP_001124160,-0.158,-1.199,-1.224,-0.026,-1.643,-0.969,0.003,-0.259,-0.979
NP_032278,-0.158,-1.199,-1.224,-0.026,-1.643,-0.969,0.003,-0.259,-0.979
NP_037470,-0.268,-0.874,-1.001,-0.177,-1.062,-0.939,-0.193,-0.207,-1.06
NP_001135836,-0.268,-0.874,-1.001,-0.177,-1.062,-0.939,-0.193,-0.207,-1.06
NP_001626,0.004,-0.892,-1.19,0.052,-1.423,-0.919,0.487,0.099,-0.926
NP_647477,0.004,-0.892,-1.19,0.052,-1.423,-0.919,0.487,0.099,-0.926
NP_778172,0.004,-0.892,-1.19,0.052,-1.423,-0.919,0.487,0.099,-0.926
NP_001393,-0.105,0.496,0.252,0.394,0.455,0.393,0.138,0.059,0.474
NP_034236,-0.105,0.496,0.252,0.394,0.455,0.393,0.138,0.059,0.474
NP_004095,-0.122,1.494,1.064,0.294,1.309,1.556,0.223,0.033,1.058
NP_005372,-0.274,0.33,0.092,0.166,0.191,0.373,-0.031,0.003,0.022
NP_067541,-0.339,-1.858,-2.474,-0.008,-2.18,-2.024,-0.05,-0.305,-2.503
NP_001988,-0.064,-0.108,-0.196,0.176,-0.196,-0.004,0.145,0.002,-0.102
NP_032016,-0.064,-0.108,-0.196,0.176,-0.196,-0.004,0.145,0.002,-0.102
NP_073568,-0.138,-0.308,-1,0.11,-0.684,-0.501,0.044,-0.057,-0.845
NP_003283,-0.25,0.048,-0.264,0.113,0.198,-0.006,-0.297,-0.395,-0.064
NP_598541,-0.25,0.048,-0.264,0.113,0.198,-0.006,-0.297,-0.395,-0.064
