Substrate_ACC,Substrate_GN,Cortex_1,Cortex_2,Cortex_3,PDGFRA_4,PDGFRA_5,PDGFRA_6,PDGFRA_7,NTRK_8,NTRK_9,NTRK_10
P84228,Hist1h3b,53660432.58,52892588.99,55207426.56,86882273.52,88256324.28,77809259.85,72146192.03,100266883.7,116001397.2,75419964.65
P62806,Hist1h4a,19013651.66,17963790.21,19579586.71,27699568.46,28454837.58,24813479.65,28078425.25,32091103.1,44333786.38,27262984.08
Q6GSS7,Hist2h2aa1,60006176.62,61617496.32,60313456.94,89868816.96,72025141.93,69307894.34,78748955.08,107401762.7,115816598.4,87787658.82
Q64522,Hist2h2ab,50246059.05,49840093.43,49725826.93,66560352.84,54903469.03,58261210.08,59631194.65,80988334.92,84935428.86,66709013.66
Q64525,Hist2h2bb,61381052.47,62985356.39,72344485.61,93209001.21,93042127.58,86521240.87,84511912.38,133520177.2,123876105.9,91638139.67
Q64524,Hist2h2be,65222388.98,65738999.32,78471366.25,92074431.82,92211342.3,82491209.86,84521790.8,122400405.7,121228805.1,91704101.37
Q8BFU2,Hist3h2a,59705409.41,61198784.32,60033765.01,90555558.65,71825222.65,69507597.81,78592647.85,108473670.8,116461830.4,87803450.22
Q9D2U9,Hist3h2ba,65069128.38,65826041.26,78743434.56,92443256.73,92231171.89,82560407.22,84300168.39,122076357.3,120310742.9,91202384.07
Q6PG16,Hjurp,34417.37214,34594.06147,37338.8435,56315.19131,56949.23263,64538.23838,52258.5055,77558.35367,70679.5522,54081.94685
Q9D8V0,Hm13,322936.4419,348777.5665,333051.7295,592730.7329,624596.1881,644595.7145,519863.3955,670978.1494,702056.8199,603193.6987
P17095-1,Hmga1,345813.8466,376346.3938,394097.0631,876861.5414,870882.3635,947472.3304,699786.6209,1020596.964,926439.4266,824904.2789
P63158,Hmgb1,10498692.24,9996389.722,10832233.91,17601490.72,16537385.71,18002286.31,15262576.64,22374044.33,21411995.21,15397248.51
P30681,Hmgb2,483383.9209,493966.6746,511998.0034,1444911.599,1514504.703,1651644.253,1382188.84,2495658.592,2372431.457,1406831.371
O54879,Hmgb3,230671.3894,220606.2332,230434.3978,340420.4285,368795.0873,371110.2842,325840.0576,522336.1484,541254.0067,326212.5207
